,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.6257468461990356, 0.667035698890686)","(0.37456560134887695, 0.7075573801994324)",0.6257468461990356,0.667035698890686,0.37456560134887695,0.7075573801994324
1,"(0.6273651123046875, 0.6664739847183228)","(0.3724977970123291, 0.705967366695404)",0.6273651123046875,0.6664739847183228,0.3724977970123291,0.705967366695404
2,"(0.626914381980896, 0.6634330749511719)","(0.37456628680229187, 0.7045383453369141)",0.626914381980896,0.6634330749511719,0.37456628680229187,0.7045383453369141
3,"(0.6259248852729797, 0.6643869280815125)","(0.37229064106941223, 0.7043983936309814)",0.6259248852729797,0.6643869280815125,0.37229064106941223,0.7043983936309814
4,"(0.6231980323791504, 0.6665257811546326)","(0.3744249641895294, 0.7050241231918335)",0.6231980323791504,0.6665257811546326,0.3744249641895294,0.7050241231918335
5,"(0.623328447341919, 0.6682620048522949)","(0.37310144305229187, 0.7038407921791077)",0.623328447341919,0.6682620048522949,0.37310144305229187,0.7038407921791077
6,"(0.6252596974372864, 0.6663334965705872)","(0.37208694219589233, 0.7034059762954712)",0.6252596974372864,0.6663334965705872,0.37208694219589233,0.7034059762954712
7,"(0.6262388825416565, 0.6601366400718689)","(0.372402161359787, 0.7016531229019165)",0.6262388825416565,0.6601366400718689,0.372402161359787,0.7016531229019165
8,"(0.6274324059486389, 0.661139190196991)","(0.37220069766044617, 0.7035663723945618)",0.6274324059486389,0.661139190196991,0.37220069766044617,0.7035663723945618
9,"(0.6267847418785095, 0.6620456576347351)","(0.3736226260662079, 0.7021365761756897)",0.6267847418785095,0.6620456576347351,0.3736226260662079,0.7021365761756897
10,"(0.6266452670097351, 0.6612640619277954)","(0.3710635006427765, 0.7034887075424194)",0.6266452670097351,0.6612640619277954,0.3710635006427765,0.7034887075424194
11,"(0.6256996989250183, 0.6611329913139343)","(0.37130600214004517, 0.7059096693992615)",0.6256996989250183,0.6611329913139343,0.37130600214004517,0.7059096693992615
12,"(0.6259302496910095, 0.6617934703826904)","(0.3705749213695526, 0.7077292203903198)",0.6259302496910095,0.6617934703826904,0.3705749213695526,0.7077292203903198
13,"(0.6246819496154785, 0.661987841129303)","(0.3720797598361969, 0.7066413164138794)",0.6246819496154785,0.661987841129303,0.3720797598361969,0.7066413164138794
