,gaze_left_eye,gaze_right_eye,gaze_left_eye_x,gaze_left_eye_y,gaze_right_eye_x,gaze_right_eye_y
0,"(0.45785585045814514, 0.6170281767845154)","(0.5092324018478394, 0.6491891741752625)",0.45785585045814514,0.6170281767845154,0.5092324018478394,0.6491891741752625
1,"(0.45781585574150085, 0.6182494759559631)","(0.5096547603607178, 0.6573777198791504)",0.45781585574150085,0.6182494759559631,0.5096547603607178,0.6573777198791504
2,"(0.4567583501338959, 0.6158410310745239)","(0.5103219747543335, 0.6549034714698792)",0.4567583501338959,0.6158410310745239,0.5103219747543335,0.6549034714698792
3,"(0.4589104652404785, 0.6171666979789734)","(0.5106434226036072, 0.6531772017478943)",0.4589104652404785,0.6171666979789734,0.5106434226036072,0.6531772017478943
4,"(0.45985305309295654, 0.6118578314781189)","(0.5105456709861755, 0.6432859301567078)",0.45985305309295654,0.6118578314781189,0.5105456709861755,0.6432859301567078
5,"(0.458682656288147, 0.6086493730545044)","(0.5107440948486328, 0.6394376158714294)",0.458682656288147,0.6086493730545044,0.5107440948486328,0.6394376158714294
6,"(0.4590645432472229, 0.6073249578475952)","(0.5119379162788391, 0.6327930688858032)",0.4590645432472229,0.6073249578475952,0.5119379162788391,0.6327930688858032
7,"(0.45977073907852173, 0.6098923683166504)","(0.5105724334716797, 0.6353663206100464)",0.45977073907852173,0.6098923683166504,0.5105724334716797,0.6353663206100464
8,"(0.45964258909225464, 0.6160754561424255)","(0.5114447474479675, 0.6365886330604553)",0.45964258909225464,0.6160754561424255,0.5114447474479675,0.6365886330604553
9,"(0.4618268311023712, 0.6139042973518372)","(0.5111297369003296, 0.6437399983406067)",0.4618268311023712,0.6139042973518372,0.5111297369003296,0.6437399983406067
10,"(0.46043112874031067, 0.6132943630218506)","(0.5139977931976318, 0.6469100117683411)",0.46043112874031067,0.6132943630218506,0.5139977931976318,0.6469100117683411
11,"(0.46206721663475037, 0.6110532283782959)","(0.5140600800514221, 0.6492190361022949)",0.46206721663475037,0.6110532283782959,0.5140600800514221,0.6492190361022949
12,"(0.45883113145828247, 0.6131315231323242)","(0.5123399496078491, 0.6512954235076904)",0.45883113145828247,0.6131315231323242,0.5123399496078491,0.6512954235076904
13,"(0.45907825231552124, 0.6139821410179138)","(0.5071902871131897, 0.6477612853050232)",0.45907825231552124,0.6139821410179138,0.5071902871131897,0.6477612853050232
14,"(0.45847323536872864, 0.6191202998161316)","(0.5063139796257019, 0.6460674405097961)",0.45847323536872864,0.6191202998161316,0.5063139796257019,0.6460674405097961
15,"(0.4582138657569885, 0.6208744645118713)","(0.5049671530723572, 0.6395386457443237)",0.4582138657569885,0.6208744645118713,0.5049671530723572,0.6395386457443237
16,"(0.45811787247657776, 0.6183102130889893)","(0.5072659254074097, 0.6343078017234802)",0.45811787247657776,0.6183102130889893,0.5072659254074097,0.6343078017234802
17,"(0.4592535197734833, 0.6111075282096863)","(0.5087772607803345, 0.6341033577919006)",0.4592535197734833,0.6111075282096863,0.5087772607803345,0.6341033577919006
