Participant,Domain Consistent Gaze Points,Domain Inconsistent Gaze Points,Domain Consistent Gaze Time (s),Domain Inconsistent Gaze Time (s)
1,7896,5086,84.0,54.1063829787234
2,6358,5933,67.63829787234043,63.11702127659574
3,2186,3104,23.25531914893617,33.02127659574468
4,5661,6334,60.223404255319146,67.38297872340425
5,6114,6459,65.04255319148936,68.7127659574468
6,6166,6333,65.59574468085106,67.37234042553192
7,7176,5068,76.34042553191489,53.91489361702128
8,5998,5681,63.80851063829787,60.43617021276596
9,5723,6565,60.88297872340426,69.84042553191489
10,5976,6236,63.57446808510638,66.34042553191489
11,5556,6674,59.1063829787234,71.0
12,7594,4221,80.7872340425532,44.90425531914894
13,5307,5939,56.45744680851064,63.180851063829785
